Nom,Score,Difficulte,Date
Vincent,41.05,Moyen,2024-02-20
Vincent,10.72,Difficile,2024-02-20
Vincent,8.23,Moyen,2024-02-20
Vincent,5.08,Difficile,2024-02-20
asd,4.41,Facile,2024-02-21
Vincent,4.30,Facile,2024-02-20
Vincent,3.88,Difficile,2024-02-20
xc,3.24,Facile,2024-02-21
aasd,3.13,Moyen,2024-02-21
zxc,3.06,Facile,2024-02-21
Vincent,2.71,Moyen,2024-02-20
Zozo,2.39,Facile,2024-02-21
zxc,2.17,Facile,2024-02-21
asdsdd,1.46,Difficile,2024-02-21
Vincent,1.43,Moyen,2024-02-20
asd,1.00,Moyen,2024-02-21
asd,0.67,Moyen,2024-02-21
sd,0.64,Facile,2024-02-21
asd,0.62,Facile,2024-02-21
sd,0.62,Facile,2024-02-21
asd,0.61,Facile,2024-02-21
sds,0.56,Facile,2024-02-21
asd,0.53,Facile,2024-02-21
,0.50,Facile,2024-02-21
sd,0.47,Facile,2024-02-21
asd,0.44,Facile,2024-02-21
asd,0.41,Facile,2024-02-21
dfg,0.35,Moyen,2024-02-21
zcxxzc,0.33,Facile,2024-02-21
sd,0.27,Facile,2024-02-21
sdf,0.24,Facile,2024-02-21
asd,0.22,Facile,2024-02-21
,0.19,Moyen,2024-02-21
zxc,0.19,Facile,2024-02-21
zzxc,0.18,Facile,2024-02-21
sdf,0.17,Facile,2024-02-21
xc,0.17,Facile,2024-02-21
sdf,0.16,Facile,2024-02-21
sdf,0.11,Facile,2024-02-21
